Disease,Symptoms,Treatments
Brain tumours,"['The symptoms of a brain tumour vary depending on the exact part of the brain that’s affected. Common symptoms include:', 'severe, persistent headaches', 'seizures (fits)', 'persistent nausea, vomiting and drowsiness', 'mental or behavioural changes, such as memory problems or changes in personality', 'progressive weakness or\xa0paralysis on one side of the body, vision problems, or speech problems']","['The main treatment for most brain tumours is surgery, which aims to remove as much of the abnormal tissue as possible.', 'It’s not always possible to remove the entire tumour, so further treatment with radiotherapy and/or chemotherapy may be necessary to kill any abnormal cells left behind.', 'For most benign tumours, treatment is often\xa0successful and a full recovery is possible, although there’s sometimes a small chance the tumour could come back.\xa0Regular follow-up appointments will normally be recommended to monitor this.', 'The outlook for malignant tumours is generally less good, although this varies depending on things such as\xa0where the tumour is in the brain, your age, and your general health. Unfortunately,\xa0a cure is often not possible and most tumours will return after treatment.', 'If a tumour does come back, treatment\xa0will aim to relieve your symptoms and prolong life by controlling the growth of the tumour.']"
Brain tumours: Children,"['Symptoms will depend on the size of the tumour, where it is and how it affects that part of the brain.\xa0Symptoms\xa0are caused by the pressure inside the head being higher than it should be. A growing tumour may push normal brain out of the way, or block the flow of fluid in the brain. Doctors call this raised intracranial pressure, and it can cause symptoms such as:', 'headaches (often worse in the morning)', 'vomiting (usually in the morning) or feeling sick', 'fits (seizures)', 'feeling very irritated or losing interest in day-to-day things', 'eye problems, such as abnormal eye movements, blurring or double vision feeling very tired much more quickly than usual', 'feeling extremely sleepy (drowsy) for no reason']","['Your child’s doctor and specialist nurse will explain more about what to expect. Always let them know about any side effects your child is having. Many side effects can be well controlled or made easier.', 'Both radiotherapy and chemotherapy can cause hair loss . Your child’s hair will usually grow back again after chemotherapy, although it may not after radiotherapy.', 'Tiredness is very common with both treatments and may continue for weeks after chemotherapy or radiotherapy finishes.', 'Radiotherapy and chemotherapy may make your child feel sick. This can usually be controlled well with anti-sickness drugs, which the oncologist will prescribe for your child.', 'Chemotherapy can increase the risk of infection. It’s\xa0important to contact the oncologist or specialist nurse straight away if your child has a temperature, any signs of infection or suddenly feels unwell.']"
Brain tumours: Teenagers and young adults,"['The symptoms of a brain tumour depend on the size of the tumour and where it is.', 'The tumour can:', 'cause fits', 'affect the messages sent by that part of the brain to other parts of the body', 'cause ‘raised intracranial pressure’\xa0– there’s only a certain amount of space in the skull for the brain and as a tumour grows, there can be a rise in pressure in or around the brain']","['The side effects you might have will depend on the type of radiotherapy you’re having and how long it lasts for. Your doctor and specialist nurse will tell you more about what to expect. Always let them know about any side effects you’re having. There’s usually something they can do to make things easier.', 'Your hair in the treatment area will start to thin and fall out shortly after your treatment starts. Your doctor or nurse can show you where you will lose your hair .', 'Losing your hair can be scary and really upsetting. There are lots of ways to cover up with hats, bandannas, baseball caps, scarves, or wigs until it grows back. Getting a shorter haircut before it starts to fall out sometimes makes it a little easier to cope with.', 'It usually starts to grow back within 3 months of finishing treatment. Hair may grow back with a slightly different colour and texture and might not be as thick as before.', 'Although hair loss is usually temporary, for some people it can be permanent. Your specialist will usually be able to tell you if this is likely. This can be hard to deal with and you’ll be given advice and support to help you cope.']"
Breast cancer (female),[''],['']
Breast cancer (male),"['The main symptom of breast cancer in men is a hard lump in one of your breasts. The lump is almost always painless.', 'The lump is usually located underneath the nipple and areola (the circle of dark-coloured skin surrounding the nipple).', 'However, the vast majority of breast lumps are\xa0caused by\xa0a condition called gynaecomastia . This is a common non-cancerous condition where male breast tissue becomes enlarged.', 'Less common symptoms of male breast cancer\xa0include:', 'the nipple beginning to turn in on itself (nipple retraction)', 'the nipple becoming hard and inflamed, and looking sore (nipple ulceration)', 'fluid leaking from the nipple (nipple discharge)']","['Treatment for breast cancer in men largely depends on how far the cancer has spread.', 'Most hospitals use multidisciplinary teams (MDTs) to treat men with breast cancer. These are teams of specialists\xa0who work together to make decisions about the best way to proceed with your treatment.', 'Deciding which treatment is best for you can often be confusing. Your cancer team will recommend what they think is the ideal treatment option, but the final decision will be yours.', 'Before visiting hospital to discuss your treatment options, you may find it useful to write a list of questions you’d like to ask the specialist. For example, you could ask about\xa0the advantages and disadvantages of particular treatments.']"
Bronchiectasis,"['The most common symptoms of bronchiectasis include:', 'a persistent cough that usually brings up mucus', 'recurrent chest infections', 'fatigue', 'Symptoms can vary from person to person. They tend to get worse if you have an infection in your lungs.']","['In some cases, medications to make breathing or clearing your lungs easier may be prescribed.', 'If you have very severe symptoms, you may be prescribed bronchodilator medications.', 'Bronchodilators are medications you breathe in. They help make breathing easier by relaxing the muscles in the lungs. Examples of this type of medication include:', 'beta-2 agonist such as salbutamol, terbutaline, formoterol or salmeterol', 'antimuscarinics such as tiotropium, glycopyrronium or aclidinium']"
Bronchitis,"['The main symptom is a hacking cough , which may bring up yellow-green mucus (phlegm). Bronchitis may also cause:', 'sore throat', 'headache', 'runny or blocked nose', 'aches and pains', 'tiredness', 'shortness of breath or wheezing']","['In most cases, bronchitis will clear up by itself within a few weeks without needing treatment. This type of bronchitis is known as acute bronchitis.', 'Your cough may last for several weeks after other symptoms have gone. You may also find that the continual coughing makes your chest and stomach muscles sore.']"
Bulimia nervosa,"['There are some common symptoms of bulimia nervosa. You may experience some or all of these. This includes:', 'bingeing – eating an unusually large amount of food in a short time, this could be as much as or more than what a person might eat in a day', 'purging – trying to reduce the effect of bingeing by attempting to get food out of your body', 'fasting – trying to restrict food intake', 'focus on food – thinking about food all the time, being secretive about food intake or hoarding food', 'organising your life around a shopping, eating and purging cycle', 'having a fear of eating in front of others', 'focusing on your body shape and weight', 'focusing on exercising to burn calories beyond a healthy level', 'wearing baggy clothes to hide your body', 'withdrawing from friends and family', 'difficulty sleeping or sleeping more than usual', 'feeling irritable, low mood or anxiety', 'feeling guilt, shame or despair', 'always checking the ingredients or nutritional labels of food', 'difficulty concentrating']","['The main type of psychological treatment for bulimia nervosa is cognitive behavioural therapy (CBT).', 'CBT starts with the idea that thoughts, feelings, and behaviour are linked and affect one another. CBT aims to improve your eating behaviours. It tries to help you see how the ways you think, affect how you feel, and what you do.', 'One alternative to CBT is interpersonal psychotherapy (IPT). IPT explores the way your relationships with people close to you impact the way you feel and how to improve these relationships.', 'Other psychological therapies include:', 'integrative cognitive affective therapy', 'schema therapy']"
Bunion,"['Bunions can cause:', 'pain and stiffness of the big toe joint', 'swelling of the big toe joint – the foot may become so wide it can be difficult to find wide enough shoes', 'difficulty walking']","['Pain medication can help you move more comfortably, which can help with the management of this condition.', 'More about taking painkillers']"
Carcinoid syndrome and carcinoid tumours,"['In the early stages of having a carcinoid tumour, you may not have any symptoms. You may also not have symptoms if the tumour is just in your digestive system, as any hormones it produces will be broken down by your liver.', 'If symptoms\xa0do develop, they tend to be fairly general and can be easily mistaken for signs of other illnesses.', 'Symptoms may result from both the tumour itself and from any hormones it releases into the bloodstream.']","['If the tumour is caught early, it may be possible to completely remove it and cure the cancer altogether. Otherwise, surgeons will remove as much of the tumour as possible (debulking).', 'If the tumour cannot be removed, but it’s not growing or causing symptoms, you may not need treatment straight away – it might just be carefully monitored.', 'If it’s causing symptoms, you may be offered one of the\xa0following treatments:', 'injections of medicines called somatostatin analogues, such as octreotide and lanreotide, which can slow down the growth of the tumour', 'radiotherapy to kill some of the cancer cells', 'a procedure to block the blood supply to\xa0the\xa0tumour (for tumours in the liver), known as\xa0hepatic artery embolisation', 'a procedure that uses a heated probe to kill cancer cells (for tumours in the liver), called\xa0radiofrequency ablation', 'chemotherapy to shrink the tumour and control your symptoms']"
Cardiovascular disease,['Information not available'],"['Advice lines support people living with heart disease or stroke. You can access these through the:', 'British Heart Foundation Heart Helpline – phone 0808 802 1234 (Monday to Friday, 9am to 5pm) or email hearthelpline@bhf.org.uk', 'Chest, Heart & Stroke Scotland Advice Line – phone 0808 801 0899 (Monday to Friday, 9am to 4pm) or email adviceline@chss.org.uk', 'Stroke Association Stroke Helpline – phone 0303 3033 1011 (Monday to Friday, 9am to 5pm and Saturday, 10am to 1pm) or email helpline@stroke.org.uk']"
Carpal tunnel syndrome,"['Carpal tunnel\u202fsyndrome is a common condition affecting the median nerve as it passes through a\u202fnarrow tunnel in the wrist.', 'The carpal tunnel is made up of the bones of your wrist, called carpals, and a thick ligament. The tunnel contains the tendons that bend your fingers and thumb as well as the median nerve.', 'Sometimes the nerve gets squashed and causes symptoms such as pain, numbness, burning or tingling in your thumb, index and middle fingers and part of the ring finger.', 'Symptoms are often worse at night or first\u202fthing in the morning. It may also become a problem when\u202fholding an object such as a phone, book or steering wheel, when your wrist is bent forwards and your fingers are in a fist position.', 'This can result in feelings of weakness and clumsiness in the hand with reduced sensation and reduced grip strength.']","['Following this advice, you should see gradual improvements over time.', 'If your symptoms haven’t improved, or it’s got worse, within 6 weeks of following this advice, talk to a healthcare professional about your symptoms.', 'Find out how to access MSK services in your area .', 'When dealing with any health condition it’s important to also look after your mental wellbeing as this can impact your recovery.']"
Catarrh,"['Catarrh can lead to a:', 'constant need to clear your throat', 'feeling that your throat is blocked', 'blocked or stuffy nose that you can’t clear', 'runny nose', 'feeling of mucus running down the back of your throat', 'persistent cough', 'headache', 'facial pain', 'reduced sense of smell and taste', 'crackling sensation in your ear and some temporary hearing loss']",['Catarrh will often pass in a few days or weeks.']
Cellulitis,"['Cellulitis causes an area of skin to suddenly become:', 'red', 'hot', 'swollen', 'painful', 'tender']","['You’ll usually be prescribed antibiotics for mild cellulitis on a small area of skin. You’ll usually need to take these for a week.', 'Your symptoms may get worse in the first 48 hours after treatment starts. This should start to improve soon afterwards.', 'Contact your GP practice if you don’t start to feel better 2 to 3 days after starting antibiotics.', 'It’s important to keep taking antibiotics until they’re finished, even when you feel better.', 'Most people make a full recovery after 7 to 10 days.']"
Cerebral palsy,"['The symptoms of cerebral palsy can vary from person to person and are dependent on the type of brain injury or abnormality. Someone with cerebral palsy may:', 'struggle with movement and balance, and may be unable to walk', 'struggle to speak, and possibly need to use electronic aids', 'have difficulties with eating, drinking and swallowing', 'have problems with their vision', 'experience pain symptoms', 'experience fatigue (tiredness)', 'have problems with their sleep', 'have epilepsy', 'have a learning disability', 'display behavioural problems', 'have bladder control problems', 'have problems with their digestive system ( constipation )', 'struggle to control their saliva', 'struggle to process information from their senses']",['Read more about support for adults and children living with cerebral palsy']
Cervical cancer,"['Cervical cancer is a type of cancer that develops in a woman’s cervix (the entrance to the womb from the vagina).', 'Cancer of the cervix often has no symptoms in its early stages. If you do have symptoms,\xa0the most common is unusual vaginal bleeding, which can occur after sex, in between periods or after the menopause .', 'Abnormal bleeding doesn’t mean that you definitely have cervical cancer, but it should be investigated by your GP as soon as possible. If your GP thinks you might have cervical cancer, you should be referred to see a specialist within 2 weeks.', 'Read more about the symptoms of cervical cancer and diagnosing cervical cancer']","['If cervical cancer is diagnosed at an early stage, it’s usually possible to treat it using surgery. In some cases, it’s possible to leave the womb in place, but it\xa0may need to be removed. The surgical procedure used to remove the womb is\xa0called a hysterectomy .', 'Radiotherapy is an alternative to surgery for some women with early-stage cervical cancer. In some cases, it’s used alongside surgery.', 'More advanced cases of cervical cancer are usually treated using a combination of chemotherapy and radiotherapy .', 'Some of the treatments used can have significant and long-lasting side effects, including early menopause and infertility .', 'Read more about treating cervical cancer']"
Cervical spondylosis,"['Many people experience no noticeable symptoms. It’s common to experience some or all of these symptoms including:', 'neck pain', 'stiffness', 'headaches which usually start at the back of the head, just above the neck, and travel over the top to the forehead.', 'Pain usually comes and goes, with flare-ups followed by symptom-free periods.']","['Following this advice, you should see gradual improvements over time.', 'You should see the biggest change in your symptoms within the first couple of weeks. Most problems should have improved within 6 weeks.', 'If your neck pain hasn’t improved within 6 weeks of following this advice, or if your symptoms get worse at any time, it’s a good idea to talk to a healthcare professional about your symptoms.', 'Read about how to access MSK services', 'When dealing with any health condition it’s important to also look after your mental wellbeing as this can impact your recovery.']"
Chest and rib injury,"['Rib and chest injuries can cause a range of symptoms including:', 'pain', 'bruising', 'swelling', 'clicking in the chest']","['Managing your pain is one of the most effective ways to prevent breathing problems. It’ll also help reduce your chance of developing a chest infection.', 'Regular pain medication can help to reduce the pain. It can also help you take deep breaths and sleep more comfortably.', 'If over the counter medication is ineffective it’s a good idea to talk to your healthcare professional.', 'More about taking painkillers']"
Chest infection,"['The main symptoms of a chest infection can include:', 'a persistent cough', 'coughing up yellow or green phlegm (thick mucus), or coughing up blood', 'breathlessness or rapid and shallow breathing', 'wheezing', 'a high temperature (fever)', 'a rapid heartbeat', 'chest pain or tightness', 'feeling confused and disorientated']","['Avoid cough medicines, as there’s little evidence they work. Coughing actually helps you clear the infection more quickly by getting rid of the phlegm from your lungs.', 'Antibiotics aren’t recommended for many chest infections, because they only work if the infection is caused by bacteria, rather than a virus.', 'Your GP will usually only prescribe antibiotics if they think you have pneumonia, or you’re at risk of complications such as fluid building up around the lungs ( pleurisy ).', 'If there’s a flu outbreak in your local area and you’re at risk of serious infection, your GP may also prescribe antiviral medication.', 'Read more about treating bronchitis and treating pneumonia']"
Chickenpox,"['Chickenpox causes a rash of red, itchy spots that turn into fluid-filled blisters . They then crust over to form scabs, which eventually drop off.', 'The spots normally appear in clusters and tend to be:', 'behind the ears', 'on the face', 'over the scalp', 'on the chest and belly', 'on the arms and legs']","['There is no treatment for chickenpox. But, you can get remedies from your pharmacy that can help symptoms. These include:', 'paracetamol to help bring down a fever', 'calamine lotion and cooling gels to ease itching.', 'In most children, the blisters crust up and fall off naturally within 1 to 2 weeks.', 'Adults with chickenpox may be helped by taking antiviral medicine if its diagnosed early enough.']"
Chilblains,"['Chilblains most often affect the body’s extremities, such as the toes, fingers, heels, ears and nose.', 'They usually develop several hours after being in the cold.', 'Symptoms of chilblains include:', 'a burning or itching feeling in the affected areas, which can get worse if you go into a warm room', 'swelling', 'the affected skin turning red or dark blue', 'in severe cases, the surface of the skin breaks, and sores or blisters develop']",['Chilblains often get better on their own without treatment.']
Chlamydia,"['Most people with chlamydia don’t notice any symptoms and don’t know they have it. So it’s important to get tested if you think you’re infected.', 'If you do get symptoms, it’s usually 1 to 3 weeks after having unprotected sex. Some people don’t get symptoms until months later.', 'If you do develop symptoms, you may experience:', 'pain when peeing', 'unusual discharge from the vagina, penis or anus', 'pain in the lower tummy, bleeding after sex, and bleeding between periods', 'pain in the testicles', 'red, sticky eyes']","['Antibiotics will treat the chlamydia infection.', 'You should avoid having sex until 1 week after you and your partner(s) have been treated. This includes oral sex and sex using a condom.', 'If chlamydia is left untreated you may pass it on to other sexual partners.', 'If chlamydia is left untreated in women, it can spread to the womb and cause a serious condition called pelvic inflammatory disease (PID) . This is a major cause of ectopic pregnancy and infertility in women.', 'If men are not treated, the infection may spread to the testicles and cause discomfort. This could affect your fertility.']"
Chronic fatigue syndrome,"['The symptoms of\xa0the condition vary from person to person. There may be times when your symptoms improve and you’ll be able to do some normal everyday activities. At other times, symptoms may get worse, affecting your daily life.', 'If you experience new symptoms, talk to your GP or specialist as the new symptoms may be unrelated to ME/CFS. Women often find that symptoms worsen at different times in their menstrual cycle. Not everyone will experience all of the symptoms.']","['Although there’s no cure for ME/CFS, there are ways to help manage your symptoms.', 'Because of the complexity of the illness different things work for different people. Your GP may be able to support you through managing your individual symptoms.', 'To decide what treatment is right for you, you should look at the evidence, including published research and patient surveys. Make sure you fully understand what the treatment involves before you make a decision. You have the right to decline any treatment option you do not feel comfortable with.', 'Your GP may suggest some of the following treatment options.']"
Chronic kidney disease,"['Most people with CKD have no symptoms because the body can tolerate even a large reduction in kidney function.', 'In other words, we are born with a lot more kidney function than is necessary for survival. Kidney function is often sufficient if only 1 kidney is working. That is why people can give a kidney to someone needing a kidney transplant.', 'A change in kidney function is usually discovered through a routine blood or urine test. If you are diagnosed with kidney disease, your kidney function will be monitored with regular blood and urine\xa0tests, and treatment aims to keep any symptoms to a minimum.', 'If the kidneys continue to lose function and there is progression towards kidney failure (established renal failure or ERF), this will usually be tracked by blood tests and monitoring. If kidney failure does occur, the symptoms may include:', 'weight loss and poor appetite', 'swollen ankles, feet or hands (due to water retention)', 'shortness of breath', 'blood or protein in your urine (protein in your urine is not something you will notice as it can only be detected during a urine test)', 'an increased need to urinate, particularly at night', 'insomnia', 'itchy skin', 'muscle cramps', 'high blood pressure (hypertension)', 'nausea', 'erectile dysfunction in men\xa0(an inability to get or maintain an erection)']","['If you decide not to have dialysis or a transplant for kidney failure, or they are not suitable for you,\xa0you will be offered supportive treatment.', 'This is also called palliative care.', 'The aim is to treat and control the symptoms of kidney failure without using dialysis or transplantation. Supportive treatment includes medical, psychological and practical care for both the person with kidney failure and their family, including discussion about how you feel and planning for the end of life .', 'Many people choose supportive treatment because they:', 'are unlikely to benefit or have quality of life with treatment', 'do not want to go through the inconvenience of treatment with dialysis', 'are advised against dialysis because they have other serious illnesses that will shorten their life, and the negative aspects of treatment outweigh any likely benefits', 'have been on dialysis but have decided to stop this treatment', 'are being treated with dialysis, but have another serious physical illness, especially severe heart disease or stroke, that will shorten their life']"
Chronic lymphocytic leukaemia,"['CLL doesn’t usually cause any symptoms early on and may only be picked up during a blood test carried out for another reason.', 'When symptoms develop, they may include:', 'getting infections\xa0often', 'anaemia\xa0– persistent tiredness, shortness of breath and pale skin', 'bleeding and bruising more easily than normal', 'a high temperature (fever)', 'night sweats', 'swollen glands in your\xa0neck, armpits or groin', 'swelling and discomfort in your tummy', 'unintentional weight loss']","['Treatment for chronic lymphocytic leukaemia (CLL) largely depends on what stage the condition is at when it’s diagnosed.', 'You may just need to be monitored at first\xa0if it’s caught early on. Chemotherapy is the main treatment if it’s more advanced.', 'Treatment can often help keep CLL under control for many\xa0years.', 'It\xa0may go away after treatment initially (known as remission), but will usually come back (relapse) a few months or years later and may need to be treated again.']"
Chronic myeloid leukaemia,"['In its early stages, chronic myeloid leukaemia usually causes no noticeable symptoms and it is often diagnosed during tests for a different condition.', 'When symptoms do develop, they are similar to those of many other illnesses and can include:', 'tiredness', 'frequent infections', 'unexplained weight loss', 'a feeling of bloating', 'less commonly, swollen lymph nodes – glands found in the neck and under your arms, which are usually painless']","['Once chronic myeloid leukaemia has progressed to\xa0a more advanced stage, chemotherapy is the next treatment.', 'Chemotherapy tablets are usually used first because they have fewer and milder side effects than chemotherapy injections. Side effects include:', 'tiredness', 'skin rash', 'increased vulnerability to infection']"
Chronic obstructive pulmonary disease (COPD),['Chest pain and coughing up blood (haemoptysis) are not common symptoms of COPD.'],"['There is currently no cure for COPD. But the sooner treatment is started, the less chance there is of complications and flare-ups. Damage to your lungs that has already happened cannot be reversed. But you can slow COPD down and feel better with treatment, especially by stopping smoking .', 'NHS Scotland recommends you get the coronavirus (COVID-19) vaccine , flu vaccine and pneumococcal vaccine when offered them.', 'Treatments for COPD usually involve relieving the symptoms with medication. For example, by using an inhaler to make breathing easier. Pulmonary rehabilitation may also help increase the amount of exercise you can do.', 'Surgery is only an option for a small number of people with COPD and lung transplant for people under 60.']"
Chronic pain,['Read about chronic pain symptoms and causes'],['Read about pain management strategies to live better with chronic pain']
Chronic pancreatitis,"['Chronic pancreatitis is a condition where the pancreas (a small organ located behind the stomach and below the ribcage) becomes permanently damaged from inflammation.', 'It’s different to acute pancreatitis , where the inflammation is only short-term.', 'The most common symptom of chronic pancreatitis is repeated episodes of abdominal\xa0(tummy) pain, which can be severe.', 'Other symptoms tend to develop as the damage to the pancreas progresses, such as producing greasy, foul-smelling stools.', 'Read more about the symptoms of chronic pancreatitis and diagnosing chronic pancreatitis .']","['In most cases of chronic pancreatitis, there’s no specific treatment to reduce the inflammation and repair the damage to the pancreas.', 'Treatment mainly focuses on lifestyle changes and medication to relieve the pain. Surgery is sometimes needed to treat severe chronic pain that doesn’t respond to painkillers.', 'However, the pain can be difficult to treat and can seriously affect your quality of life.', 'People who don’t smoke cigarettes and avoid drinking alcohol tend to experience less pain and live longer than those who continue to drink and smoke after receiving a diagnosis.', 'Read more about treating chronic pancreatitis .']"
Cirrhosis,"['There are usually few symptoms in the early stages of cirrhosis. However, as your liver loses its ability to function properly, you’re likely to experience a loss of appetite, nausea and\xa0itchy skin.', 'In the later stages, symptoms can include jaundice, vomiting blood, dark, tarry-looking stools, and a build-up of fluid in the legs (oedema) and abdomen (ascites).', 'Read more about the symptoms of cirrhosis.']","['There’s currently no cure for cirrhosis.\xa0However, it’s possible to manage\xa0the symptoms\xa0and any complications, and slow\xa0its progression.', 'Treating underlying conditions that may be the cause, such as using anti-viral medication to treat a hepatitis C infection, can also stop cirrhosis getting worse.', 'You may be advised to cut down or stop drinking alcohol, or to lose weight if you’re overweight.\xa0A wide\xa0range of alcohol support services are available.', 'In its more advanced stages, the scarring caused by cirrhosis can make your liver stop functioning. In this case, a liver transplant is the only treatment option.', 'Read more about treating cirrhosis .']"
Clavicle (collar bone) fracture,"['If your\xa0collar bone\xa0hasn’t improved within 6 weeks of following this advice, it’s a good idea to talk to a healthcare professional about your symptoms.']","['Some medications can slow down fracture healing. If you have concerns about your medication talk to a healthcare professional.', 'Anti-inflammatory medication, like Ibuprofen or Naproxen, have been shown to delay healing.']"
Clostridium difficile,"['Symptoms of a C. difficile\xa0infection usually develop when you’re taking antibiotics, or when you’ve finished taking them within the last few weeks.', 'The most common symptoms are:', 'watery diarrhoea , which can be bloody', 'painful tummy cramps', 'feeling sick', 'signs of dehydration , such as\xa0a dry mouth , headaches and peeing less often than normal', 'a high temperature (fever) of above 38C (100.4F)', 'loss of appetite and weight loss']","['Your GP will decide whether you need hospital treatment (if you’re not already in hospital). If\xa0the infection is\xa0relatively mild, you may be treated at home.', 'If you’re in hospital, you\xa0might be moved to a room of your own during treatment to reduce the risk of the infection spreading to others.', 'Treatment for C. difficile can include:', 'stopping\xa0the antibiotics thought to be causing the infection, if possible – in mild cases, this may be the only treatment that’s needed', 'taking a 10 to 14-day course of antibiotics that are known to kill C. difficile bacteria', 'rarely,\xa0serious\xa0infections may\xa0require\xa0surgery to remove a damaged section of the bowel']"
Coeliac disease,"['Coeliac disease can cause a wide range of symptoms in the digestive system and rest of the body.', 'Symptoms can develop at any age, but coeliac disease is most commonly diagnosed between the ages of 40 and 60 years.', 'More about the symptoms of coeliac disease or what is coeliac disease?']",['The only treatment for confirmed coeliac disease is a lifelong gluten-free diet.']
Cold sore,"['You may not have any symptoms when you first become infected with HSV (the primary infection).', 'An outbreak of cold sores may occur later and keep coming back (recurrent infection).', 'However, if the primary infection does cause symptoms, they can be quite severe.']","['If you have cold sores you can get advice and treatment directly from a pharmacy.', 'Your pharmacist may recommend that you speak to your GP if required.']"
Coma,"['Someone who is in a coma is unconscious and has minimal brain activity. They’re alive, but\xa0can’t be woken up and show no signs of being aware.', 'The person’s eyes will be closed and\xa0they’ll\xa0appear to be unresponsive to their environment. They won’t\xa0normally respond to sound or pain, or be able to communicate or move voluntarily.', 'Someone in a coma will also have very reduced basic reflexes such as coughing and swallowing. They may be able to breathe on their own, although some people require a machine to help them breathe.', 'Over time, the person may start to gradually regain consciousness and become more aware. Some people will wake up after a few weeks, while others may go into a vegetative state or minimally conscious state.']","['The experience of being in a coma differs from person to person. Some people feel they can remember events that happened around them while they\xa0were in a coma, while others don’t.', 'Some people have reported feeling enormous reassurance from the presence of a loved one when coming out of a coma.', 'When visiting a friend or loved one in a coma, you may find the advice below helpful:', 'when you arrive, announce who you are', 'talk to them about your day as you normally would\xa0–\xa0be aware that everything you say in front of them might be heard', 'show them your love and support\xa0– even just sitting and holding their hand or stroking their skin can be\xa0a great comfort']"
Common cold,"['The main symptoms of a cold include:', 'a sore throat', 'a blocked or runny nose', 'sneezing', 'a cough', 'a hoarse voice', 'generally feeling unwell']","['Speak to a pharmacist if you have a cold and would like advice and treatment.', 'Find your local pharmacy']"
Concussion,"['It can take up to 72 hours after an injury for symptoms of concussion to appear.', 'If someone has a concussion, you may see changes to the way they behave and act. They may:', 'lose consciousness', 'be confused', 'have a blank expression', 'take an unusually long amount of time to answer questions', 'struggle to balance', 'show inappropriate emotional responses, like laughing or crying without explanation', 'act out of character, like being unusually irritable', 'struggle to remember events before or after the injury']",['Concussion can cause complications which can be severe. This is why you should treat anyone with a suspected concussion as if they definitely have one.']
Congenital heart disease,"['Acyanotic heart disease is where the blood contains enough oxygen but it’s pumped abnormally around the body.', 'Babies born with acyanotic heart disease may not have any apparent symptoms but, over time, the condition can cause health problems.', 'In this group of conditions there can be a significant increase in blood pressure, putting the heart under more strain as it works much harder. This can weaken the heart, and increases the risk of developing heart failure, where the muscle is unable to efficiently pump blood around the body.', 'In addition, the blood pressure in the lungs is often too high. This is known as pulmonary hypertension and can damage the lungs and cause symptoms such as:', 'breathlessness', 'fatigue', 'dizziness', 'fainting']","['About 80% of children with congenital heart disease will survive into adulthood. Living as an adult with congenital heart disease involves a new set of challenges. Some adults will require specialised care.', 'Routine medical procedures, such as giving birth or having a general anaesthetic, will need to be closely supervised by specialist staff with experience in treating adults with congenital heart disease. There is also the risk that previous heart surgery, such as the insertion of a replacement valve, will fail and that further surgery will be required.', 'Due to these factors, it’s recommended that older teenagers register with a specialised adult congenital heart disease clinic. The clinic will be able to provide regular check-ups and assessments, liaise with other specialised medical services as required, and provide on-going support and advice.', 'Your GP or treatment team can give you more information about services in your area for adults with congenital heart disease.']"
Conjunctivitis,"['Conjunctivitis usually causes symptoms in both eyes like:', 'inflammation', 'redness', 'itching', 'a burning or gritty feeling', 'watering', 'pus that sticks to the eyelashes']",['Speak to a pharmacist for advice about conjunctivitis. They can suggest eyedrops or antihistamines to help with your symptoms.']
Constipation,"['When you’re constipated, passing stools becomes more difficult and less frequent than usual.', 'Normal bowel habits vary from person to person. Some adults go to the toilet more than once a day, whereas others may only go every 3\xa0or 4\xa0days. Similarly, some infants pass stools several times a day, while others only pass them a few times a week.', 'If you or your child pass stools less than usual, it could be a sign of constipation.', 'It may also be more difficult to pass stools and you may feel unable to empty your bowel\xa0completely. Your stools may appear dry, hard and lumpy, as well as abnormally large or small.', 'Other symptoms of constipation can include:']","['Diet and lifestyle changes are usually recommended as the first treatment for constipation.', 'This includes gradually increasing your daily intake of fibre, making sure you drink plenty of fluids, and trying to get more exercise.', 'If these aren’t effective, your\xa0pharmacist may recommend an oral\xa0laxative medication\xa0that can\xa0help you empty your bowels.', 'Treatment for constipation is effective, although in some cases it can take several months before a regular bowel pattern is re-established.', 'Read more about treating constipation .']"
Coronary heart disease,"['The main symptoms of coronary heart disease are:', 'chest pain ( angina )', 'shortness of breath', 'pain throughout the body', 'feeling faint', 'feeling sick (nausea)']","['Coronary heart disease (CHD) is a term used to describe what happens when the blood flow to the heart is interrupted or reduced. It is also known as ischaemic heart disease.', 'Often, the reduction or blockage in blood flow is caused by atherosclerosis. This is when a fatty material called atheroma builds up inside the coronary arteries. This can narrow the coronary arteries, reducing the blood flow.', 'If a piece of atheroma breaks off, this can cause a blockage and cut off blood supply to the heart. This is known as a heart attack.', 'Further information is available about the diagnosis, treatment and management of:', 'a heart attack', 'angina']"
Coronavirus (COVID-19),"['It’s particularly important to get help if you’re at increased risk of becoming more unwell from coronavirus such as if you’re pregnant, aged 60 or over, or have a weakened immune system.']","['Coronavirus, and other respiratory infections such as flu, can spread easily and cause serious illness in some people.', 'The coronavirus (COVID-19) vaccines help to build up your immunity to the virus, so your body will fight it off more easily if it affects you. Like all medicines, no vaccine is completely effective. Some people may still get coronavirus despite having a vaccine, but any illness should be less severe. There’s still a chance you might catch coronavirus, or another respiratory infection, if you’re vaccinated, and pass it on to other people.', 'Most people no longer need to take a coronavirus test. You can still access testing if you have a health condition which means you’re eligible for coronavirus treatments .', 'To prevent the spread of infection, you should stay at home and avoid contact with other people if you’re unwell. When you no longer have a fever (if you had one) and don’t need medicine to control your fever, you can return to normal activities. For example, work, school, and social events. There’s no specific time limit you need to avoid contact with others. You can use 48 hours as a rough guide.']"
